1.9992,32,12.5,13.7,14.7,3.528,Perch
2.432,40,13.8,15,16,3.824,Perch
2.6316,51.5,15,16.2,17.2,4.5924,Perch
2.9415,70,15.7,17.4,18.5,4.588,Perch
3.3216,100,16.2,18,19.2,5.2224,Perch
3.1234,78,16.8,18.7,19.4,5.1992,Perch
3.0502,80,17.2,19,20.2,5.6358,Perch
3.0368,85,17.8,19.6,20.8,5.1376,Perch
2.772,85,18.2,20,21,5.082,Perch
3.555,110,19,21,22.5,5.6925,Perch
3.3075,115,19,21,22.5,5.9175,Perch
3.6675,125,19,21,22.5,5.6925,Perch
3.534,130,19.3,21.3,22.8,6.384,Perch
3.4075,120,20,22,23.5,6.11,Perch
3.525,120,20,22,23.5,5.64,Perch
3.525,130,20,22,23.5,6.11,Perch
3.525,135,20,22,23.5,5.875,Perch
3.995,110,20,22,23.5,5.5225,Perch
3.624,130,20.5,22.5,24,5.856,Perch
3.624,150,20.5,22.5,24,6.792,Perch
3.63,145,20.7,22.7,24.2,5.9532,Perch
3.626,150,21,23,24.5,5.2185,Perch
3.725,170,21.5,23.5,25,6.275,Perch
3.723,225,22,24,25.5,7.293,Perch
3.825,145,22,24,25.5,6.375,Perch
4.1658,188,22.6,24.6,26.2,6.7334,Perch
3.6835,180,23,25,26.5,6.4395,Perch
4.239,197,23.5,25.6,27,6.561,Perch
4.144,218,25,26.5,28,7.168,Perch
5.1373,300,25.2,27.3,28.7,8.323,Perch
4.335,260,25.4,27.5,28.9,7.1672,Perch
4.335,265,25.4,27.5,28.9,7.0516,Perch
4.5662,250,25.4,27.5,28.9,7.2828,Perch
4.2042,250,25.9,28,29.4,7.8204,Perch
4.6354,300,26.9,28.7,30.1,7.5852,Perch
4.7716,320,27.8,30,31.6,7.6156,Perch
6.018,514,30.5,32.8,34,10.03,Perch
6.3875,556,32,34.5,36.5,10.2565,Perch
7.7957,840,32.5,35,37.3,11.4884,Perch
6.864,685,34,36.5,39,10.881,Perch
6.7408,700,34,36,38.3,10.6091,Perch
6.2646,700,34.5,37,39.4,10.835,Perch
6.3666,690,34.6,37,39.3,10.5717,Perch
7.4934,900,36.5,39,41.4,11.1366,Perch
6.003,650,36.5,39,41.4,11.1366,Perch
7.3514,820,36.6,39,41.3,12.4313,Perch
7.1064,850,36.9,40,42.3,11.9286,Perch
7.225,900,37,40,42.5,11.73,Perch
7.4624,1015,37,40,42.4,12.3808,Perch
6.63,820,37.1,40,42.5,11.135,Perch
6.8684,1100,39,42,44.6,12.8002,Perch
7.2772,1000,39.8,43,45.2,11.9328,Perch
7.4165,1100,40.1,43,45.5,12.5125,Perch
8.142,1000,40.2,43.5,46,12.604,Perch
7.5958,1000,41.1,44,46.6,12.4888,Perch
